44.57325,11.36419
44.55418,11.32077
44.54430,11.26287
44.53517,11.35127
44.51790,11.40938
44.51343,11.31884
44.51301,11.27439
44.47902,11.27447
44.44317,11.27251
44.48729,11.41613
44.45916,11.40723
44.47003,11.37129
44.44216,11.35742
44.50444,11.37650
44.49173,11.34297
44.47157,11.33534
44.49112,11.30888
44.50542,11.47444
44.56695,11.51082
44.58331,11.41643
44.64995,11.36509
44.60901,11.28005
44.60616,11.18375
44.53375,11.19638
44.46920,11.13841
44.42398,11.21987
44.35509,11.26795
44.39683,11.34429
44.35277,11.42878
44.42460,11.44909
44.44532,11.52593
